,host_id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
663,51697511,BARWON ABODE - Barwon Heads,Kelly,f,,Greater Geelong,6.0,$324.00,99.0
664,51699614,Arlington Beach Home,Belinda,f,,Greater Geelong,10.0,$550.00,96.0
665,51748440,Centreside Ocean Views 59,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,4.0,$514.00,80.0
666,51748440,Darian Townhouse 1-28,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,6.0,$432.00,78.0
667,29825351,Beachy Keen,Milly,t,"Apollo Bay, Victoria, Australia",Colac Otway,6.0,$183.00,95.0
668,51775506,Short drive to the Great Ocean Road,Paul,f,"Cobden, Victoria, Australia",Corangamite,3.0,$131.00,98.0
669,41908886,Large Modern Family Beach House,Greg,f,"Anglesea, Victoria, Australia",Surf Coast,7.0,$350.00,92.0
670,48832653,Azen Haven,Ken,t,"Apollo Bay, Victoria, Australia",Colac Otway,4.0,$246.00,99.0
671,51854358,"Tall Trees Retreat, Satinwood Cottage",Roslyn Jamieson,t,"Apollo Bay, Victoria, Australia",Colac Otway,3.0,$186.00,97.0
672,45788147,43 Grey,Joanne,t,"Terang, Victoria, Australia",Corangamite,6.0,$150.00,98.0
673,51891632,Pet friendly cabin opposite river,Melissa,f,"Anglesea, Victoria, Australia",Surf Coast,0.0,$175.00,96.0
674,33474511,Barwon View - spacious holiday home,Jan,t,"Ocean Grove, Victoria, Australia",Greater Geelong,6.0,$321.00,94.0
675,44224852,Ocean view 2 Bedroom Apart.Torquay,John,f,"Torquay, Victoria, Australia",Surf Coast,2.0,$429.00,98.0
676,52346656,Kings Court,Gregor,t,,Surf Coast,6.0,$600.00,94.0
677,47744011,MAGNIFICENT TORQUAY BEACH VIEWS with JACCUZZI,Despina,f,,Surf Coast,5.0,$446.00,98.0
678,10900545,"'Granny Flat', Ocean Grove",Helen,t,"Ocean Grove, Victoria, Australia",Greater Geelong,2.0,$108.00,96.0
679,11400576,Gateway to Surf Coast & Geelong  (Upstairs Suite),Ian,t,"Belmont, Victoria, Australia",Greater Geelong,4.0,$104.00,98.0
680,10357773,12 Apostles Luxury Lodge - Great Ocean Road,Jordan & Cindy,f,"Wattle Hill, Victoria, Australia",Corangamite,4.0,$868.00,100.0
681,52717943,The Lookout - Torquay,Jed,f,,Surf Coast,5.0,$414.00,95.0
682,52894854,Tranquil Bush Retreat,Julie,t,,Corangamite,3.0,$234.00,97.0
683,53135026,Townhouse Heart of Anglesea  Sleep 5,Sly,f,,Surf Coast,4.0,$216.00,96.0
684,49847125,Renovated Modern Holiday Home,Ian,f,,Surf Coast,10.0,$429.00,96.0
685,176090842,Affordable Seaside Family Beach Shack,Alana,f,"Port Campbell, Victoria, Australia",Corangamite,7.0,$199.00,92.0
686,27394197,Sea Through the Trees,Carmel,t,"Kennett River, Victoria, Australia",Colac Otway,4.0,$436.00,95.0
687,17123575,Cozy and well furnished beach shack,Nicholas,f,,Surf Coast,2.0,$229.00,96.0
688,53504283,Ripplevale House near Tower Hill,Wendy,f,"Koroit, Victoria, Australia",Moyne,5.0,$120.00,93.0
689,10973781,HYWYE,John,f,Australia,Colac Otway,1.0,$136.00,91.0
690,29902659,Boat House Villa,BGHoliday,f,"Barwon Heads, Victoria, Australia",Greater Geelong,4.0,$455.00,100.0
691,27130278,Wye Leave - NOW with Tesla Powerwall/Solar,Lisa,t,"Wye River, Victoria, Australia",Colac Otway,8.0,$475.00,98.0
692,28370098,Heart of Torquay - walk everywhere!,Gail,f,"Torquay, Victoria, Australia",Surf Coast,3.0,$184.00,100.0
693,16520398,33 on wye,Richard,t,,Colac Otway,5.0,$245.00,98.0
694,51748440,Deluxe Queen Hotel Room #1,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,1.0,$170.00,82.0
695,51748440,Deluxe Apartment 1 Bedroom #1,Reservations Team,f,,Surf Coast,1.0,$240.00,84.0
696,45493018,Kiki Apartments - Unit 2,Ingrid,t,,Warrnambool,8.0,$186.00,94.0
697,34246864,'By the River ' Barwon Heads,Christine,t,"Barwon Heads, Victoria, Australia",Greater Geelong,4.0,$135.00,96.0
698,53904270,Koala View in Kennett River,Simon,t,,Colac Otway,4.0,$229.00,98.0
699,53970419,OCEAN GROVE     STUDIO FLAT,Graeme,t,,Greater Geelong,2.0,$95.00,97.0
700,14215150,3 BR Luxury Home with WiFi & Foxtel,Christine,t,"Ocean Grove, Victoria, Australia",Greater Geelong,5.0,$350.00,100.0
701,53986397,Panorama Cottage,Allison,f,"Cape Otway, Victoria, Australia",Colac Otway,3.0,$279.00,95.0
702,21518347,Ultimate Beach Shack,Alexandra,f,"Queenscliff, Victoria, Australia",Queenscliffe,2.0,$180.00,89.0
703,25668313,"Large, updated home in great area",Lachlan,f,"Geelong West, Victoria, Australia",Greater Geelong,4.0,$250.00,98.0
704,2409331,"The Surfside Shack, Big Ocean View Deck & NBN(new)",Kevin,t,"Moggs Creek, Victoria, Australia",Surf Coast,5.0,$242.00,94.0
705,44640355,Cumberland Resort - Lorne,Mario,f,,Surf Coast,6.0,$295.00,93.0
